# lon	lat	name	site_activity	tectonic_setting	spreading_rate	depth  (NOAA PMEL global vents)
-169.72	52.98	Kagamil_Island	VolcanicArc-active	arc_volcano	NotApplicable	5
167.2717	55.4167	Piip_Submarine_Volcano	VolcanicArc-active	arc_volcano	NotApplicable	500-382
155.5	49.6667	Paramushir_Island	VolcanicArc-inactive	arc_volcano	NotApplicable	800
152.8	47.516667	Kraternaya_Bight;_Ushishir_Volcano	VolcanicArc-active	arc_volcano	NotApplicable	60-0
145.736	43.976	Hot_Beach;_Mendeleev_Volcano	VolcanicArc-active	arc_volcano	NotApplicable	1-0
130.8	31.65	Kagoshima_Bay;_Sakura-jima_Volcano	VolcanicArc-active	arc_volcano	NotApplicable	200-80
130.333	30.75	Nagahama_Bay;_Iwodake_Volcano	VolcanicArc-active	arc_volcano	NotApplicable	4-0
124.10167	24.348333	Taketomi_Thermal_Area	VolcanicArc-active	arc_volcano	NotApplicable	23-10
129.08267	30.330333	Okinawa_Trough;_Site_ES1	BackArcBasin-unconfirmed	back-arc_spreading_center	20.7	521
128.10283	28.813667	Okinawa_Trough;_Site_ES2	BackArcBasin-unconfirmed	back-arc_spreading_center	22.6	779
127.6417	28.3917	Minami-Ensei_Knoll	BackArcBasin-active	back-arc_spreading_center	24.2	740-610
126.9	27.786333	North_Knoll;_Iheya_Ridge	BackArcBasin-active	back-arc_spreading_center	28.2	1070-970
127.14167	27.575	Natsushima_84-1_Knoll	BackArcBasin-active	back-arc_spreading_center	28.8	1600
126.975	27.541667	Iheya_Ridge	BackArcBasin-active	back-arc_spreading_center	28.8	1430-1390
127.08333	27.266667	Izena_Cauldron	BackArcBasin-active	back-arc_spreading_center	30.1	1450-1340
124.88	25.23	Yaeyama_Graben	BackArcBasin-active	back-arc_spreading_center	43.5	1850-1650
122.7	24.866667	SPOT;_SPOT-5	BackArcBasin-active	back-arc_spreading_center	49	1000
123.841	24.855	SPOT;_Hatoma_Knoll	BackArcBasin-active	back-arc_spreading_center	49	1520-1460
122.7	24.849	SPOT;_Yonaguni_Knoll_IV	BackArcBasin-active	back-arc_spreading_center	49	1385-1336
122	24.83333	Kueishan_Island;_offshore	BackArcBasin-active	back-arc_spreading_center	53.1	1200-250
121.95	24.833333	Kueishan_Island	BackArcBasin-active	back-arc_spreading_center	55.3	30-10
140.1667	33.5667	Shinkurose_Bank	VolcanicArc-inactive	arc_volcano	NotApplicable	200
139.68	33.4	Kurose_Hole	VolcanicArc-inactive	arc_volcano	NotApplicable	760-600
139.85	32.1	Myojin_Knoll	VolcanicArc-active	arc_volcano	NotApplicable	1360-1220
139.95	31.883333	Myojinsho_Caldera	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1110-850
140.06667	31.466667	Sumisu_Caldera	VolcanicArc-active	arc_volcano	NotApplicable	690-670
138.75	31.3667	Nishi-Shichito_Ridge	VolcanicArc-inactive	arc_volcano	NotApplicable	1600-600
140.6417	28.575	Suiyo_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	1380-1320
140.58	28.32	Mokuyo_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	1200-870
140.81667	27.683333	Doyo_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	520-440
140.87833	27.236667	Nishinoshima_Island	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	NotProvided
141.0833	26.7	Kaikata_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	930-460
139.66667	32	Bayonnaise_Knoll_caldera	BackArcBasin-unconfirmed	back-arc_spreading_center	NotProvided	800-700
139.8917	31.1	Sumisu_Rift	BackArcBasin-unconfirmed	back-arc_spreading_center	NotProvided	1600-1530
141.94	23.497	Minami-Hiyoshi_submarine_volcano	VolcanicArc-active	arc_volcano	NotApplicable	NotProvided
142.33333	23.083333	Nikko_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	600-430
142.533	22.508	W_Syoyo	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	2150
142.762	22.387	SW_Syoyo	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1750
143.47	21.93	Fukujin_Seamount	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1100
143.71	21.765	Kasuga_1_Seamount	VolcanicArc-inactive	arc_volcano	NotApplicable	600
143.61667	21.6	Kasuga_2_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	500-400
144.043	21.485	Northwest_Eifuku_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	1604-1573
143.6	21.383333	Kasuga_3_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	1140
144.194	21.324	Daikoku_volcano	VolcanicArc-active	arc_volcano	NotApplicable	450-350
144.705	20.810	Chamorro_Seamount	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	875
144.88333	20.53	Makhahnas	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	420
145.03	20.42	Ahyi	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	60
145.22	20.02	Maug_Caldera	VolcanicArc-active	arc_volcano	NotApplicable	55
145.85	16.88	Zealandia	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	144
145.66667	16.333333	NE_Anatahan_submarine_volcano	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	460
145.67	15.93	East_Diamante_Seamount	VolcanicArc-active	arc_volcano	NotApplicable	457-179
145.57	15.62	Ruby	VolcanicArc-active	arc_volcano	NotApplicable	214-200
145.25	14.9667	Esmeralda_Bank	VolcanicArc-active	arc_volcano	NotApplicable	323-50
144.775	14.601	Northwest_Rota-1_volcano	VolcanicArc-active	arc_volcano	NotApplicable	599-516
144.833	14.325	West_Rota_volcano	VolcanicArc-active	arc_volcano	NotApplicable	1150
143.9166	13.4	Forecast	VolcanicArc-active	arc_volcano	NotApplicable	1470
144.02	13.25	Seamount_X	VolcanicArc-active	arc_volcano	NotApplicable	1450-1290
143.53333	12.716667	Nakayama_Field	VolcanicArc-active	arc_volcano	NotApplicable	2960
144.6833	18.2167	Alice_Springs_Field	BackArcBasin-active	back-arc_spreading_center	31.6	3640-3595
144.75333	18.046667	Mariana_Trough;_unnamed	BackArcBasin-active	back-arc_spreading_center	32.3	3676
144.28333	18.033333	Mariana_Mounds	BackArcBasin-active	back-arc_spreading_center	32.3	3600
143.68333	13.1	13_N_Ridge_Site	BackArcBasin-active	back-arc_spreading_center	50.5	2900
143.62	12.953333	Snail	BackArcBasin-active	back-arc_spreading_center	51.3	2880
143.64833	12.918333	Pika	BackArcBasin-active	back-arc_spreading_center	51.3	2990-2830
143.48	12.76	Mariana_Trough;_plume_2	BackArcBasin-unconfirmed	back-arc_spreading_center	51.9	2880
139.16667	16	Parece_Vela_Ridge;_Philippine_Sea	BackArcBasin-inactive	back-arc_spreading_center	NotProvided	5000-4000
131.417	12	Philippine_Ridge;_West_Philippine_Basin	BackArcBasin-inactive	back-arc_spreading_center	NotProvided	5800-5200
122	20	Batan	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	NotProvided
125	11	Leyte	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	NotProvided
125.5	3.67	Awu_volcano	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	NotProvided
125.491	3.138	Banua_Wuhu_submarine_volcano	VolcanicArc-active	arc_volcano	NotApplicable	10
125.2	1.4333333	Sulawesi_Island	VolcanicArc-active	arc_volcano	NotApplicable	3
129.871	-4.525	Banda_Api	VolcanicArc-active	arc_volcano	NotApplicable	3
123.8	-7.98	Komba-ridge	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1000
147	-3	western_Manus_Basin;_Bismarck_Sea	BackArcBasin-inactive	back-arc_spreading_center	117.5	1800-500
147.528	-3.038	Solwara_17	BackArcBasin-unconfirmed	back-arc_spreading_center	125.3	535-500
147.239	-3.076	Solwara_18	BackArcBasin-unconfirmed	back-arc_spreading_center	123.6	1308
147.19167	-3.166667	Solwara_11	BackArcBasin-active	back-arc_spreading_center	121.7	1500-1300
148.764	-3.666	Solwara_19	BackArcBasin-unconfirmed	back-arc_spreading_center	124	1039-1025
150.2833	-3.1667	Vienna_Woods	BackArcBasin-active	back-arc_spreading_center	26.6	2500
150.036	-3.371167	Vienna_Woods;_Hydrothermal_Field_4	BackArcBasin-active	back-arc_spreading_center	52.6	2240-2190
150.1681	-3.4199	central_Manus_Basin;_Bismarck_Sea	BackArcBasin-unconfirmed	back-arc_spreading_center	39.2	2500
149.967	-3.438	Solwara_16	BackArcBasin-unconfirmed	back-arc_spreading_center	67.8	2163-2147
151.87167	-3.695833	DESMOS_Cauldron	BackArcBasin-active	back-arc_spreading_center	142.5	2000
151.88339	-3.708639	Solwara_12	BackArcBasin-inactive	back-arc_spreading_center	142.5	1920-1850
151.67	-3.725	PACMANUS_field	BackArcBasin-active	back-arc_spreading_center	140.6	1800-1650
151.7465	-3.731972	Solwara_13	BackArcBasin-unconfirmed	back-arc_spreading_center	140.6	2000-1940
152.1	-3.8	SuSu_Knolls	BackArcBasin-active	back-arc_spreading_center	145.3	1520-1460
152.2	-4.27	Matupi_Harbour;_Rabaul_caldera;_New_Britain_Island	VolcanicArc-active	arc_volcano	NotApplicable	30-0
152.53333	-2.833333	New_World_Seamount	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1200
152.65	-3.116667	Luise_Harbor;_Lihir_Island	VolcanicArc-active	arc_volcano	NotApplicable	30-0
152.66	-3.25	Conical_Seamount	VolcanicArc-inactive	arc_volcano	NotApplicable	1050
152.58	-3.31	Edison_Seamount	VolcanicArc-unconfirmed	arc_volcano	NotApplicable	1450
153.66667	-4.083333	Tutum_Bay;_Ambitle_Island	VolcanicArc-active	arc_volcano	NotApplicable	10-5
151.83	-9.9083	Franklin_Seamount	BackArcBasin-active	back-arc_spreading_center	23.9	2366-2143
155.06667	-9.8	Woodlark_Basin;_Segment_3B	BackArcBasin-unconfirmed	back-arc_spreading_center	34.8	3300
